Year,Car Title,Car Model,Mileage,Fuel Type,Ownership,EMI Info,Current Price,Original Price,Location
2018,Renault Kwid,RXL,"84,162 km",Petrol,1st Owner,"5,711/m",2.92L,2.96L,"Naroda, Ahmedabad"
2022,Renault TRIBER,RXL MT,"26,543 km",Petrol,2nd Owner,"10,680/m",5.46L,6.53L,"Karnavi Club, Ahmedabad"
2022,Mahindra SCORPIO-N,Z8L PETROL MT 7 STR,"13,097 km",Petrol,1st Owner,"35,803/m",18.81L,6.53L,"Karnavi Club, Ahmedabad"
2021,Mahindra Thar,LX D AT 4WD HT,"30,063 km",Diesel,1st Owner,"25,163/m",13.22L,13.97L,"Karnavi Club, Ahmedabad"
2017,Renault Kwid,CLIMBER 1.0 AMT,"33,755 km",Petrol,1st Owner,"5,340/m",2.73L,3.10L,"Naroda, Ahmedabad"
2017,Jeep Compass,LONGITUDE (O) 2.0 DIESEL,"97,907 km",Diesel,1st Owner,"16,274/m",8.55L,9.76L,"Karnavi Club, Ahmedabad"
2023,Mahindra Bolero,B6,"14,923 km",Diesel,1st Owner,"19,176/m",10.07L,10.31L,"Karnavi Club, Ahmedabad"
2020,Mahindra XUV500,W7,"32,491 km",Diesel,1st Owner,"20,918/m",10.99L,11.51L,"Karnavi Club, Ahmedabad"
2021,Renault TRIBER,RXT,"42,589 km",Petrol,1st Owner,"10,569/m",5.41L,6.15L,"Naroda, Ahmedabad"
2022,Mahindra XUV700,AX 5 P AT 5 STR,"6,492 km",Petrol,1st Owner,"33,919/m",17.82L,19.33L,"Naroda, Ahmedabad"
2021,Mahindra Thar,LX D 4*4 MT HT,"52,145 km",Diesel,2nd Owner,"21,451/m",11.27L,11.98L,"Karnavi Club, Ahmedabad"
2019,Renault TRIBER,RXZ,"53,563 km",Petrol,1st Owner,"11,023/m",5.64L,6.23L,"Karnavi Club, Ahmedabad"
2019,Renault Kwid,RXT 1.0 (O),"53,607 km",Petrol,2nd Owner,"6,060/m",3.10L,3.56L,"Karnavi Club, Ahmedabad"
2022,Renault Kwid,RXL 0.8 (O),"29,056 km",Petrol,1st Owner,"8,309/m",4.25L,4.79L,"Karnavi Club, Ahmedabad"
2021,Mahindra Thar,LX PETROL HT 4WD AT,"46,448 km",Petrol,1st Owner,"24,751/m",13.00L,14.08L,"Naroda, Ahmedabad"
2021,Renault Kwid,RXT 0.8,"20,267 km",Petrol,1st Owner,"8,618/m",4.41L,4.71L,"Karnavi Club, Ahmedabad"
2018,Jeep Compass,LIMITED (O) 1.4 PETROL AT,"57,894 km",Petrol,1st Owner,"20,347/m",10.69L,4.71L,"Karnavi Club, Ahmedabad"
2022,Mahindra XUV300,W8(O) 1.2 PETROL DUAL TONE,"11,262 km",Petrol,1st Owner,"21,147/m",11.11L,12.60L,"Naroda, Ahmedabad"
2022,Mahindra XUV300,W8 (O) 1.2 PETROL AMT,"12,801 km",Petrol,1st Owner,"21,499/m",11.29L,12.76L,"Naroda, Ahmedabad"
2022,Mahindra XUV300,W8 (O) 1.5 DIESEL AMT,"15,946 km",Diesel,1st Owner,"23,092/m",12.13L,13.88L,"Karnavi Club, Ahmedabad"
2019,Mahindra XUV500,W7,"79,470 km",Diesel,1st Owner,"20,880/m",10.97L,13.88L,"Kompally, Hyderabad"
2022,Mahindra XUV700,AX 5 D MT 5 STR,"29,358 km",Diesel,1st Owner,"35,031/m",18.40L,13.88L,"Kompally, Hyderabad"
2021,Renault Kwid,CLIMBER 1.0 (O),"7,391 km",Petrol,1st Owner,"8,736/m",4.47L,5.36L,"Kompally, Hyderabad"
2022,Renault Kwid,CLIMBER AMT 1.0,"25,787 km",Petrol,1st Owner,"11,290/m",5.78L,6.49L,"Attapur, Hyderabad"
2022,Renault Kwid,CLIMBER AMT 1.0,"9,601 km",Petrol,1st Owner,"11,290/m",5.78L,6.52L,"Kompally, Hyderabad"
2018,Jeep Compass,LIMITED 2.0 DIESEL,"1,22,168 km",Diesel,2nd Owner,"23,567/m",10.84L,13.85L,"Kompally, Hyderabad"
2021,Mahindra Thar,LX  P 4WD AT CONVERTIBLE,"32,709 km",Petrol,2nd Owner,"25,106/m",13.19L,13.89L,"Kompally, Hyderabad"
2018,Renault Kwid,CLIMBER 1.0 AMT,"87,072 km",Petrol,1st Owner,"7,077/m",3.62L,4.15L,"Bachupally, Hyderabad"
2022,Renault TRIBER,RXT AMT,"29,617 km",Petrol,1st Owner,"13,451/m",6.88L,4.15L,"Kompally, Hyderabad"
2019,Renault Kwid,CLIMBER 1.0,"51,288 km",Petrol,2nd Owner,"6,802/m",3.48L,4.14L,"Kompally, Hyderabad"
2021,Renault Kwid,RXL,"45,901 km",Petrol,1st Owner,"7,436/m",3.80L,4.33L,"Bachupally, Hyderabad"
2019,Mahindra KUV 100 NXT,K8 P 6 STR DUAL TONE,"44,303 km",Petrol,2nd Owner,"11,337/m",5.80L,6.72L,"Kompally, Hyderabad"
2021,Mahindra XUV300,W8 (O) 1.5 DIESEL,"38,401 km",Diesel,1st Owner,"21,756/m",11.43L,11.55L,"Bachupally, Hyderabad"
2021,Mahindra Thar,LX D 4WD AT CONVERTIBLE,"24,914 km",Diesel,2nd Owner,"26,438/m",13.89L,11.55L,"Bachupally, Hyderabad"
2016,Renault Duster,110 PS RXZ 4X2 AMT DIESEL,"93,571 km",Diesel,1st Owner,"12,649/m",6.47L,6.93L,"Bachupally, Hyderabad"
2020,Renault Duster,RXZ 1.3 TURBO PETROL MT,"1,05,742 km",Petrol,1st Owner,"17,128/m",7.70L,10.80L,"Kompally, Hyderabad"
2022,Renault TRIBER,RXZ AMT,"37,502 km",Petrol,1st Owner,"14,272/m",7.30L,7.99L,"Attapur, Hyderabad"
2021,Renault Kwid,CLIMBER 1.0 AMT (O),"44,865 km",Petrol,1st Owner,"9,756/m",4.99L,5.58L,"Bachupally, Hyderabad"
2020,Renault Kwid,CLIMBER 1.0 AMT (O),"18,513 km",Petrol,2nd Owner,"8,778/m",4.49L,5.27L,"Kompally, Hyderabad"
2021,Renault Kwid,RXT 1.0 (O),"50,141 km",Petrol,2nd Owner,"7,943/m",4.06L,4.45L,"Bachupally, Hyderabad"
2020,Renault Kwid,CLIMBER 1.0 (O),"47,560 km",Petrol,2nd Owner,"7,247/m",3.71L,4.45L,"Dewas Naka, Lasudia Mori"
2017,Renault Kwid,CLIMBER 1.0 AMT,"33,697 km",Petrol,2nd Owner,"6,814/m",3.49L,4.31L,"Dewas Naka, Lasudia Mori"
2020,Renault Kwid,RXT 0.8,"75,196 km",Petrol,1st Owner,"7,429/m",3.80L,4.60L,"Dewas Naka, Lasudia Mori"
2019,Mahindra XUV300,W8 (O) 1.5 DIESEL,"43,143 km",Diesel,1st Owner,"16,978/m",8.92L,10.27L,"Dewas Naka, Lasudia Mori"
2023,Mahindra Bolero,B4,"6,789 km",Diesel,1st Owner,"16,293/m",8.56L,9.92L,"Dewas Naka, Lasudia Mori"
2020,Renault Kwid,RXL,"32,402 km",Petrol,1st Owner,"7,248/m",3.71L,4.15L,"Dewas Naka, Lasudia Mori"
2022,Mahindra XUV300,W8 (O) 1.2 PETROL,"23,601 km",Petrol,1st Owner,"18,558/m",9.75L,11.66L,"Dewas Naka, Lasudia Mori"
2020,Renault Kwid,RXT 1.0 (O),"54,200 km",Petrol,1st Owner,"7,468/m",3.82L,4.70L,"Dewas Naka, Lasudia Mori"
